Food,Also,Serving,g,Composition
Maddur vada,maddur vade,2 pieces,110,"Rice flour 25 g, semolina 12 g, refined flour 8 g, onion 25 g, green chili 2 g, curry leaves 2 g, oil 20 g, water 22 g, salt 2 g"
Mangalore buns,"banana buns, sweet buns",2 pieces,130,"Wheat flour 50 g, banana 45 g, yogurt 12 g, sugar 10 g, oil 10 g, cumin 1 g, salt 1 g, water 20 g"
Mangalore goli bajje,"golibaje, mangalore bajji",5 pieces,150,"Refined flour 35 g, yogurt 30 g, gram flour 15 g, onion 12 g, green chili 2 g, ginger 2 g, curry leaves 2 g, oil 35 g, water 35 g, salt 2 g"
Kotte kadubu,"leaf idli, kadubu",3 pieces,180,"Idli rice 40 g, urad dal 15 g, coconut 8 g, fenugreek 1 g, salt 2 g, water 120 g"
Kadubu,rice kadubu,3 pieces,160,"Rice flour 45 g, coconut 15 g, jaggery 12 g, sesame 3 g, cardamom 1 g, water 80 g"
Akki rotti,rice rotti,1 rotti,110,"Rice flour 50 g, onion 20 g, grated carrot 10 g, coconut 8 g, green chili 2 g, coriander 3 g, oil 6 g, water 25 g, salt 2 g"
Ragi mudde,"ragi ball, ragi mudda",2 balls,180,"Ragi flour 55 g, water 125 g, salt 1 g"
Ragi dosa,ragi dose,2 dosas,160,"Ragi flour 40 g, rice flour 20 g, urad dal 8 g, onion 10 g, cumin 1 g, oil 6 g, water 75 g, salt 2 g"
Rava idli,rave idli,2 pieces,130,"Semolina 45 g, yogurt 25 g, carrot 10 g, cashew 5 g, oil 4 g, mustard 1 g, urad dal 2 g, curry leaves 2 g, eno 1 g, water 35 g, salt 2 g"
Set dosa Karnataka,set dose,3 pieces,180,"Rice 40 g, urad dal 12 g, poha 10 g, fenugreek 1 g, oil 5 g, water 100 g, salt 1 g"
Mysore masala dosa,Mysuru masala dosa,1 dosa,190,"Dosa batter 95 g, potato cooked 60 g, red chutney 15 g, butter 7 g, onion 10 g, oil 5 g, mustard 1 g, curry leaves 2 g, salt 2 g"
Mysore bonda,Mysuru bonda,4 pieces,140,"Urad dal 35 g, yogurt 10 g, coconut 8 g, green chili 2 g, ginger 2 g, coriander 2 g, curry leaves 2 g, oil 35 g, water 30 g, salt 2 g"
Kori rotti,chicken curry with rotti,1 plate,300,"Chicken 100 g, coconut 20 g, onion 30 g, tomato 25 g, oil 8 g, spices 6 g, garlic 3 g, curry leaves 3 g, rotti 55 g, water 50 g, salt 2 g"
Kundapura chicken curry,"Kundapur kozhi, Kundapura koli saaru",1 katori,230,"Chicken 100 g, coconut 18 g, onion 30 g, tomato 20 g, oil 8 g, Kundapura spice blend 6 g, garlic 3 g, curry leaves 3 g, water 55 g, salt 2 g"
Mangalore chicken sukka,"kori sukka, chicken sukka",1 katori,200,"Chicken 100 g, coconut 18 g, onion 30 g, coconut oil 7 g, roasted spices 6 g, garlic 3 g, curry leaves 3 g, tamarind 4 g, coriander 2 g, salt 2 g"
Mangalore fish fry,coastal fish fry,1 piece,140,"Seer fish 110 g, rice flour 8 g, chili paste 5 g, turmeric 1 g, lemon juice 3 g, coconut oil 8 g, salt 2 g"
Mangalorean fish curry,meen gassi,1 katori,220,"Fish 100 g, coconut 25 g, onion 20 g, tamarind 7 g, chili 4 g, turmeric 1 g, coconut oil 6 g, curry leaves 3 g, water 50 g, salt 2 g"
Prawn ghee roast,Mangalorean prawn ghee roast,1 katori,200,"Prawns 100 g, ghee 12 g, yogurt 15 g, chili paste 5 g, garlic 3 g, tamarind 4 g, spices 5 g, curry leaves 3 g, salt 2 g"
Bonda soup,urad bonda soup,1 bowl,220,"Urad dal 30 g, oil 12 g, moong dal 15 g, tomato 25 g, onion 15 g, spices 4 g, coriander 2 g, water 120 g, salt 2 g"
Vada pav Karnataka-style,Karnataka batata vada bun,1 piece,160,"Potato 60 g, gram flour 25 g, bun 55 g, oil 12 g, green chili 2 g, coriander 2 g, garlic chutney 4 g, salt 2 g"
Chiroti,chiroti,2 pieces,90,"Refined flour 40 g, rice flour 8 g, ghee 8 g, sugar 15 g, oil 15 g, milk 8 g, water 20 g"
