Food,Also,Serving,g,Composition
Corn chaat,masala corn chaat,1 bowl,170,"Sweet Corn Cooked 110 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Peanut chaat,peanut salad chaat,1 bowl,165,"Peanuts Cooked 100 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Sprouts chaat,mixed sprouts chaat,1 bowl,185,"Moong Sprouts 80 g, Chickpeas Cooked 35 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Fruit chaat,Indian fruit salad,1 bowl,190,"Apple 45 g, Banana 40 g, Papaya 40 g, Pomegranate 25 g, Orange 30 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Kala chana chaat,black chickpea chaat,1 bowl,175,"Black Chickpeas Cooked 105 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Aloo chana chaat,potato chickpea chaat,1 bowl,210,"Potato Cooked 70 g, Chickpeas Cooked 65 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Tamarind Chutney 10 g, Salt 1 g"
Sweet potato chaat,shakarkandi chaat,1 bowl,190,"Sweet Potato Cooked 125 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Tamarind Chutney 10 g, Salt 1 g"
Makhana chaat,foxnut chaat,1 bowl,170,"Roasted Makhana 35 g, Cucumber 35 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Yogurt 35 g, Salt 1 g"
Paneer chaat,masala paneer chaat,1 bowl,190,"Paneer 100 g, Cucumber 25 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Masala papad chaat,papad chaat,1 papad,85,"Roasted Papad 18 g, Onion 20 g, Tomato 25 g, Cucumber 15 g, Coriander 4 g, Lemon Juice 5 g, Chaat Masala 2 g, Salt 1 g"
Dahi corn chaat,yogurt corn chaat,1 bowl,190,"Sweet Corn Cooked 90 g, Yogurt 55 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Coriander Chutney 8 g, Salt 1 g"
Boiled egg chaat,anda chaat,1 bowl,175,"Egg Boiled 100 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Chicken chaat,chicken salad chaat,1 bowl,185,"Chicken Cooked 90 g, Cucumber 25 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Mango chaat,raw mango chaat,1 bowl,185,"Raw Mango 100 g, Cucumber 30 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Jaggery 8 g, Salt 1 g"
Cucumber chaat,kheera chaat,1 bowl,185,"Cucumber 125 g, Peanuts Roasted 15 g, Onion 20 g, Tomato 25 g, Coriander 5 g, Lemon Juice 8 g, Chaat Masala 2 g, Salt 1 g"
Roasted makhana,roasted foxnuts,1 small bowl,50,"Makhana 42 g, Ghee 5 g, Black Pepper 1 g, Salt 1 g"
Masala makhana,spiced foxnuts,1 small bowl,50,"Makhana 42 g, Ghee 5 g, Chaat Masala 2 g, Salt 1 g"
Peri peri makhana,peri-peri foxnuts,1 small bowl,50,"Makhana 42 g, Oil 5 g, Peri Peri Seasoning 3 g, Salt 1 g"
Jaggery makhana,sweet makhana,1 small bowl,52,"Makhana 36 g, Jaggery 12 g, Ghee 3 g, Salt 1 g"
Chana jor garam,flattened spiced chana,1 small bowl,50,"Flattened Roasted Chickpeas 44 g, Oil 3 g, Chaat Masala 2 g, Chili Powder 1 g, Salt 1 g"
Masala peanuts,spiced coated peanuts,1 small bowl,55,"Peanuts 38 g, Besan 9 g, Oil Absorbed 6 g, Chili Powder 1 g, Salt 1 g"
Peanut masala,masala peanut salad,1 small bowl,90,"Peanuts Roasted 45 g, Onion 18 g, Tomato 18 g, Lemon Juice 5 g, Chaat Masala 2 g, Salt 1 g"
Spiced roasted chickpeas,masala roasted chana,1 small bowl,65,"Chickpeas Cooked 75 g, Oil 5 g, Chili Powder 1 g, Cumin 1 g, Salt 1 g"
Masala cashews,spiced cashew nuts,1 small bowl,50,"Cashews 45 g, Ghee 4 g, Chili Powder 1 g, Black Pepper 1 g, Salt 1 g"
Masala almonds,spiced roasted almonds,1 small bowl,50,"Almonds 45 g, Oil 3 g, Chili Powder 1 g, Black Pepper 1 g, Salt 1 g"
Mixed nuts masala,spiced mixed nuts,1 small bowl,55,"Almonds 18 g, Cashews 18 g, Peanuts 15 g, Oil 3 g, Chaat Masala 2 g, Salt 1 g"
Murmura namkeen,puffed rice mixture,1 small bowl,55,"Puffed Rice 32 g, Peanuts 10 g, Roasted Gram 8 g, Oil 4 g, Curry Leaves 2 g, Turmeric 1 g, Salt 1 g"
Cornflakes chivda,cornflakes mixture,1 small bowl,55,"Cornflakes 32 g, Peanuts 10 g, Roasted Gram 8 g, Oil 4 g, Curry Leaves 2 g, Turmeric 1 g, Salt 1 g"
Oats chivda,oats mixture,1 small bowl,55,"Rolled Oats 32 g, Peanuts 10 g, Roasted Gram 8 g, Oil 4 g, Curry Leaves 2 g, Turmeric 1 g, Salt 1 g"
Roasted poha chivda,roasted flattened rice mixture,1 small bowl,55,"Flattened Rice 32 g, Peanuts 10 g, Roasted Gram 8 g, Oil 4 g, Curry Leaves 2 g, Turmeric 1 g, Salt 1 g"
Potato chips,plain potato crisps,1 small bowl,50,"Potato 55 g, Oil Absorbed 7 g, Salt 1 g"
Masala potato chips,masala crisps,1 small bowl,50,"Potato 55 g, Oil Absorbed 7 g, Chili Powder 1 g, Chaat Masala 1 g, Salt 1 g"
Banana chips salted,salted banana wafers,1 small bowl,50,"Raw Banana 55 g, Oil Absorbed 7 g, Salt 1 g"
Banana chips masala,masala banana wafers,1 small bowl,50,"Raw Banana 55 g, Oil Absorbed 7 g, Chili Powder 1 g, Turmeric 1 g, Salt 1 g"
Tapioca chips,cassava chips,1 small bowl,50,"Tapioca 55 g, Oil Absorbed 7 g, Chili Powder 1 g, Salt 1 g"
Fryums,fried far-far,1 small bowl,45,"Wheat Fryums 42 g, Oil Absorbed 7 g, Salt 1 g"
Masala fryums,spiced fryums,1 small bowl,48,"Wheat Fryums 42 g, Oil Absorbed 7 g, Chili Powder 1 g, Chaat Masala 1 g, Salt 1 g"
Rice papdi,rice flour papdi,1 small bowl,45,"Rice Flour 38 g, Oil Absorbed 7 g, Sesame Seeds 2 g, Cumin 1 g, Salt 1 g"
Cocktail samosa,mini samosa,2 pieces,60,"Refined Wheat Flour 22 g, Water 12 g, Potato Cooked 20 g, Peas Cooked 5 g, Oil Absorbed 6 g, Cumin 1 g, Salt 1 g"
