Food,Also,Serving,g,Composition
Butter toast,buttered toast,2 slices,70,"White Bread 60 g, Butter 10 g"
Jam toast,toast with jam,2 slices,83,"White Bread 60 g, Fruit Jam 20 g, Butter 4 g"
Cheese toast,cheese on toast,2 slices,98,"White Bread 60 g, Cheddar Cheese 35 g, Butter 4 g"
Garlic toast,garlic butter toast,2 slices,73,"White Bread 60 g, Butter 9 g, Garlic 4 g, Parsley 1 g"
French toast,eggy bread,2 slices,135,"White Bread 60 g, Egg 50 g, Full-Fat Milk 25 g, Sugar 6 g, Butter 5 g, Cinnamon 1 g"
Baked beans on toast,beans on toast,2 slices,210,"White Bread 60 g, White Beans Cooked 100 g, Tomato Puree 35 g, Sugar 4 g, Butter 5 g, Salt 1 g"
Scrambled eggs,scrambled egg,2 eggs,110,"Egg 100 g, Full-Fat Milk 15 g, Butter 5 g, Black Pepper 1 g, Salt 1 g"
Poached eggs,poached egg,2 eggs,100,"Egg 100 g, Vinegar 3 g, Salt 1 g"
Fried egg,sunny-side up,1 egg,55,"Egg 50 g, Oil 5 g, Salt 1 g, Black Pepper 1 g"
Cheese omelette,cheese omelet,2-egg omelette,135,"Egg 100 g, Cheddar Cheese 30 g, Full-Fat Milk 10 g, Butter 5 g, Black Pepper 1 g, Salt 1 g"
Egg sandwich,egg mayo sandwich,1 sandwich,130,"White Bread 60 g, Egg Boiled 50 g, Mayonnaise 15 g, Black Pepper 1 g, Salt 1 g, Butter 5 g"
Cheese sandwich,cold cheese sandwich,1 sandwich,135,"White Bread 60 g, Cheddar Cheese 40 g, Cucumber 15 g, Tomato 15 g, Butter 5 g"
Club sandwich,chicken club sandwich,1 sandwich,195,"White Bread 90 g, Chicken Cooked 55 g, Egg Boiled 25 g, Tomato 20 g, Lettuce 12 g, Mayonnaise 15 g, Butter 5 g"
Chicken sandwich,chicken mayo sandwich,1 sandwich,155,"White Bread 60 g, Chicken Cooked 65 g, Mayonnaise 15 g, Lettuce 12 g, Black Pepper 1 g, Butter 5 g"
Tuna sandwich,tuna mayo sandwich,1 sandwich,155,"White Bread 60 g, Tuna Canned Drained 65 g, Mayonnaise 15 g, Onion 10 g, Lettuce 10 g, Butter 5 g"
Cucumber sandwich,English cucumber sandwich,1 sandwich,135,"White Bread 60 g, Cucumber 55 g, Cream Cheese 18 g, Black Pepper 1 g, Butter 5 g"
Coleslaw sandwich,slaw sandwich,1 sandwich,150,"White Bread 60 g, Cabbage 45 g, Carrot 20 g, Mayonnaise 18 g, Lemon Juice 3 g, Butter 5 g"
Vegetable burger,veg burger,1 burger,200,"Burger Bun 70 g, Potato Cooked 65 g, Peas Cooked 18 g, Carrot 15 g, Breadcrumbs 12 g, Oil Absorbed 8 g, Lettuce 10 g, Tomato 20 g, Mayonnaise 12 g, Salt 2 g"
Chicken burger,chicken patty burger,1 burger,210,"Burger Bun 70 g, Chicken 90 g, Breadcrumbs 12 g, Oil Absorbed 8 g, Lettuce 10 g, Tomato 20 g, Mayonnaise 12 g, Salt 2 g, Black Pepper 1 g"
French fries,"chips, finger chips",1 plate,120,"Potato 150 g, Oil Absorbed 14 g, Salt 2 g"
Potato wedges,seasoned potato wedges,1 plate,150,"Potato 175 g, Oil 10 g, Paprika 2 g, Garlic 3 g, Salt 2 g"
Grilled chicken breast,grilled chicken,1 fillet,160,"Chicken Breast 175 g, Olive Oil 7 g, Lemon Juice 8 g, Garlic 4 g, Black Pepper 2 g, Mixed Herbs 2 g, Salt 2 g"
Roast chicken,roasted chicken,1 serving,180,"Chicken 205 g, Butter 7 g, Garlic 4 g, Lemon Juice 7 g, Mixed Herbs 2 g, Black Pepper 1 g, Salt 2 g"
Chicken steak,grilled chicken steak,1 plate,220,"Chicken Breast 165 g, Mushroom 45 g, Onion 20 g, Butter 8 g, Wheat Flour 6 g, Full-Fat Milk 55 g, Black Pepper 2 g, Salt 2 g"
Chicken cutlet,chicken croquette,2 pieces,140,"Chicken Cooked 75 g, Potato Cooked 40 g, Breadcrumbs 20 g, Egg 18 g, Onion 15 g, Oil Absorbed 10 g, Black Pepper 1 g, Salt 2 g"
Fish and chips,fish & chips,1 plate,260,"White Fish 140 g, Potato 150 g, Refined Wheat Flour 28 g, Egg 20 g, Oil Absorbed 22 g, Lemon Juice 6 g, Salt 2 g"
Grilled fish,herb-grilled fish,1 fillet,170,"White Fish 180 g, Olive Oil 7 g, Lemon Juice 8 g, Garlic 4 g, Black Pepper 2 g, Mixed Herbs 2 g, Salt 2 g"
Cottage pie,beef cottage pie,1 serving,250,"Beef Mince 95 g, Potato Cooked 105 g, Onion 25 g, Carrot 25 g, Peas Cooked 20 g, Tomato Puree 18 g, Butter 7 g, Full-Fat Milk 20 g, Oil 5 g, Salt 2 g"
Shepherd's pie,lamb shepherds pie,1 serving,250,"Lamb Mince 95 g, Potato Cooked 105 g, Onion 25 g, Carrot 25 g, Peas Cooked 20 g, Tomato Puree 18 g, Butter 7 g, Full-Fat Milk 20 g, Oil 5 g, Salt 2 g"
Chicken pot pie,chicken pie,1 serving,240,"Refined Wheat Flour 55 g, Butter 24 g, Chicken Cooked 70 g, Carrot 25 g, Peas Cooked 20 g, Onion 20 g, Full-Fat Milk 55 g, Egg 12 g, Salt 2 g"
Mashed potatoes,potato mash,1 bowl,160,"Potato Cooked 135 g, Full-Fat Milk 25 g, Butter 8 g, Black Pepper 1 g, Salt 2 g"
Roasted potatoes,oven-roasted potatoes,1 bowl,160,"Potato 175 g, Olive Oil 10 g, Garlic 3 g, Rosemary 1 g, Black Pepper 1 g, Salt 2 g"
Sauteed vegetables,sautéed vegetables,1 bowl,160,"Broccoli 45 g, Carrot 35 g, Green Beans 30 g, Bell Pepper 30 g, Zucchini 30 g, Butter 7 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Creamed spinach,creamy spinach,1 bowl,160,"Spinach 135 g, Full-Fat Milk 45 g, Cream 18 g, Butter 7 g, Wheat Flour 5 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Cream of mushroom soup,mushroom cream soup,1 bowl,220,"Mushroom 75 g, Full-Fat Milk 105 g, Water 70 g, Onion 20 g, Cream 15 g, Butter 7 g, Wheat Flour 7 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Cream of chicken soup,chicken cream soup,1 bowl,220,"Chicken Cooked 55 g, Full-Fat Milk 100 g, Water 80 g, Onion 18 g, Cream 15 g, Butter 7 g, Wheat Flour 7 g, Black Pepper 1 g, Salt 2 g"
Caesar salad,chicken Caesar salad,1 bowl,190,"Lettuce 75 g, Chicken Cooked 65 g, Bread Croutons 25 g, Parmesan Cheese 12 g, Mayonnaise 15 g, Lemon Juice 6 g, Olive Oil 5 g, Black Pepper 1 g, Salt 1 g"
Russian salad,Olivier salad,1 bowl,180,"Potato Cooked 55 g, Carrot Cooked 30 g, Peas Cooked 30 g, Apple 25 g, Pineapple 20 g, Mayonnaise 28 g, Black Pepper 1 g, Salt 1 g"
Coleslaw,cabbage slaw,1 bowl,120,"Cabbage 70 g, Carrot 30 g, Mayonnaise 20 g, Lemon Juice 4 g, Sugar 2 g, Salt 1 g"
Potato salad,creamy potato salad,1 bowl,170,"Potato Cooked 115 g, Mayonnaise 24 g, Onion 15 g, Cucumber 15 g, Mustard 4 g, Black Pepper 1 g, Salt 1 g"
Chicken salad,classic chicken salad,1 bowl,180,"Chicken Cooked 80 g, Lettuce 35 g, Cucumber 25 g, Tomato 25 g, Mayonnaise 15 g, Lemon Juice 5 g, Black Pepper 1 g, Salt 1 g"
Tuna salad,classic tuna salad,1 bowl,170,"Tuna Canned Drained 75 g, Lettuce 35 g, Cucumber 25 g, Tomato 25 g, Mayonnaise 12 g, Lemon Juice 5 g, Black Pepper 1 g, Salt 1 g"
Oatmeal porridge,oats porridge,1 bowl,220,"Rolled Oats 45 g, Full-Fat Milk 170 g, Water 60 g, Sugar 10 g, Cinnamon 1 g"
Cornflakes with milk,corn flakes and milk,1 bowl,210,"Cornflakes 35 g, Full-Fat Milk 170 g, Sugar 5 g"
Muesli with milk,breakfast muesli,1 bowl,220,"Muesli 50 g, Full-Fat Milk 160 g, Banana 35 g, Almonds 6 g"
Pancakes,breakfast pancakes,3 pancakes,180,"Refined Wheat Flour 70 g, Egg 45 g, Full-Fat Milk 90 g, Sugar 12 g, Butter 8 g, Baking Powder 3 g, Salt 1 g"
Waffles,Belgian-style waffles,2 waffles,180,"Refined Wheat Flour 75 g, Egg 50 g, Full-Fat Milk 90 g, Sugar 15 g, Butter 12 g, Baking Powder 3 g, Salt 1 g"
