Food,Also,Serving,g,Composition
Masala Maggi,masala instant noodles,1 bowl,220,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 135 g, Onion 15 g, Tomato 18 g, Oil 4 g"
Vegetable Maggi,veg Maggi,1 bowl,250,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 135 g, Onion 15 g, Tomato 18 g, Oil 4 g, Carrot 18 g, Peas Cooked 15 g, Bell Pepper 15 g"
Cheese Maggi,cheesy Maggi,1 bowl,240,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 135 g, Onion 15 g, Tomato 18 g, Oil 4 g, Processed Cheese 30 g"
Egg Maggi,egg instant noodles,1 bowl,260,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 135 g, Onion 15 g, Tomato 18 g, Oil 4 g, Egg 50 g"
Chicken Maggi,chicken instant noodles,1 bowl,270,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 135 g, Onion 15 g, Tomato 18 g, Oil 4 g, Chicken Cooked 55 g"
Paneer Maggi,paneer instant noodles,1 bowl,275,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 135 g, Onion 15 g, Tomato 18 g, Oil 4 g, Paneer 55 g, Bell Pepper 12 g"
Tadka Maggi,tempered Maggi,1 bowl,220,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 135 g, Onion 15 g, Tomato 18 g, Oil 4 g, Ghee 5 g, Cumin 1 g, Garlic 4 g, Green Chili 2 g"
Soupy Maggi,soupy instant noodles,1 bowl,310,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 225 g, Onion 15 g, Tomato 18 g, Oil 4 g, Carrot 12 g, Spring Onion 8 g"
Schezwan Maggi,Schezwan instant noodles,1 bowl,235,"Instant Masala Noodles 70 g, Tastemaker 6 g, Water 135 g, Onion 15 g, Tomato 18 g, Oil 4 g, Schezwan Sauce 15 g, Bell Pepper 12 g"
Maggi omelette,noodle omelette,1 omelette,190,"Instant Masala Noodles 45 g, Tastemaker 4 g, Egg 100 g, Onion 15 g, Tomato 15 g, Green Chili 2 g, Oil 6 g, Water 70 g"
Maggi bhel,noodle bhel,1 plate,160,"Instant Noodles Dry 55 g, Onion 25 g, Tomato 25 g, Cucumber 20 g, Coriander Chutney 12 g, Tamarind Chutney 12 g, Sev 18 g, Lemon Juice 5 g"
Instant cup noodles,cup noodles,1 cup,250,"Instant Noodles 65 g, Seasoning 6 g, Dehydrated Vegetables 8 g, Water 190 g"
Indian masala pasta,masala pasta,1 bowl,250,"Pasta 80 g, Onion 25 g, Tomato 55 g, Bell Pepper 25 g, Carrot 20 g, Tomato Sauce 15 g, Oil 7 g, Garam Masala 2 g, Water 95 g, Salt 2 g"
Tandoori pasta,tandoori sauce pasta,1 bowl,260,"Pasta 80 g, Paneer 35 g, Onion 25 g, Bell Pepper 25 g, Tomato 45 g, Yogurt 35 g, Cream 15 g, Oil 7 g, Tandoori Masala 3 g, Water 80 g, Salt 2 g"
Paneer tikka pasta,paneer pasta,1 bowl,280,"Pasta 80 g, Paneer 65 g, Onion 25 g, Bell Pepper 25 g, Tomato 50 g, Yogurt 25 g, Cream 12 g, Oil 7 g, Tikka Seasoning 3 g, Water 80 g, Salt 2 g"
Vegetable frankie,veg frankie,1 roll,210,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Potato Cooked 50 g, Carrot 18 g, Peas Cooked 15 g, Cabbage 20 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Paneer frankie,paneer Frankie roll,1 roll,230,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Paneer 75 g, Bell Pepper 20 g, Tomato 18 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Chicken frankie,chicken Frankie roll,1 roll,235,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Chicken Cooked 80 g, Bell Pepper 18 g, Tomato 15 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Egg frankie,egg Frankie roll,1 roll,220,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Egg 80 g, Tomato 18 g, Green Chili 2 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Aloo frankie,potato Frankie roll,1 roll,220,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Potato Cooked 85 g, Tomato 18 g, Cumin 1 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Schezwan frankie,Schezwan veg roll,1 roll,220,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Potato Cooked 45 g, Cabbage 25 g, Carrot 18 g, Schezwan Sauce 18 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Soya chaap roll,soya chaap wrap,1 roll,240,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Soya Chaap 85 g, Bell Pepper 20 g, Yogurt 20 g, Tandoori Masala 3 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Paneer tikka wrap,paneer wrap,1 roll,235,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Paneer 75 g, Bell Pepper 22 g, Yogurt 20 g, Tikka Seasoning 3 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Chicken tikka wrap,chicken wrap,1 roll,240,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Chicken Cooked 80 g, Bell Pepper 20 g, Yogurt 18 g, Tikka Seasoning 3 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Egg wrap,egg tortilla wrap,1 roll,215,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Egg 80 g, Cabbage 20 g, Tomato 18 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Vegetable wrap,veg wrap,1 roll,215,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Potato Cooked 40 g, Carrot 20 g, Cabbage 25 g, Bell Pepper 20 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
Falafel wrap,falafel roll,1 roll,220,"Refined Wheat Flour 55 g, Water 35 g, Oil 7 g, Chickpeas 45 g, Lettuce 18 g, Tomato 18 g, Tahini 15 g, Oil Absorbed 8 g, Onion 20 g, Coriander Chutney 12 g, Salt 2 g"
