Food,Also,Serving,g,Composition
Oats idli,oat idli,3 idlis,200,"Rolled Oats 45 g, Semolina 25 g, Yogurt 45 g, Carrot 15 g, Water 95 g, Mustard Seeds 1 g, Oil 4 g, Salt 2 g"
Oats dosa,oat dosa,1 dosa,200,"Rolled Oats 45 g, Rice Flour 25 g, Yogurt 30 g, Water 105 g, Oil 5 g, Cumin 1 g, Salt 2 g"
Oats uttapam,oat uttapam,1 dosa,220,"Rolled Oats 45 g, Rice Flour 25 g, Yogurt 30 g, Water 105 g, Oil 5 g, Cumin 1 g, Salt 2 g, Onion 18 g, Tomato 18 g, Bell Pepper 15 g"
Oats chilla,oats cheela,2 chillas,180,"Rolled Oats 50 g, Besan 25 g, Onion 20 g, Tomato 20 g, Carrot 15 g, Water 85 g, Oil 6 g, Cumin 1 g, Salt 2 g"
Oats khichdi,oat vegetable khichdi,1 bowl,230,"Rolled Oats 45 g, Moong Dal 25 g, Carrot 20 g, Peas Cooked 18 g, Tomato 20 g, Ghee 5 g, Cumin 1 g, Turmeric 1 g, Water 175 g, Salt 2 g"
Oats poha,oat poha-style breakfast,1 bowl,190,"Rolled Oats 55 g, Onion 20 g, Potato Cooked 30 g, Peas Cooked 18 g, Peanuts 10 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 2 g, Lemon Juice 6 g, Salt 2 g"
Oats upma,oat vegetable upma,1 bowl,210,"Rolled Oats 45 g, Water 145 g, Carrot 18 g, Peas Cooked 15 g, Onion 15 g, Oil 5 g, Cumin 1 g, Salt 2 g"
Masala oats,savory masala oats,1 bowl,210,"Rolled Oats 45 g, Water 145 g, Carrot 18 g, Peas Cooked 15 g, Onion 15 g, Oil 5 g, Cumin 1 g, Salt 2 g, Tomato 20 g, Garam Masala 2 g"
Vegetable masala oats,veg masala oats,1 bowl,230,"Rolled Oats 45 g, Water 145 g, Carrot 18 g, Peas Cooked 15 g, Onion 15 g, Oil 5 g, Cumin 1 g, Salt 2 g, Green Beans 15 g, Bell Pepper 15 g, Tomato 20 g, Garam Masala 2 g"
Overnight oats,cold soaked oats,1 jar,220,"Rolled Oats 45 g, Full-Fat Milk 120 g, Yogurt 45 g, Chia Seeds 10 g, Honey 10 g"
Banana overnight oats,banana oat jar,1 jar,260,"Rolled Oats 45 g, Full-Fat Milk 115 g, Yogurt 40 g, Banana 70 g, Chia Seeds 8 g, Honey 8 g"
Apple cinnamon oats,apple oatmeal,1 bowl,240,"Rolled Oats 45 g, Full-Fat Milk 140 g, Apple 65 g, Water 45 g, Honey 8 g, Cinnamon 1 g"
Ragi idli,finger millet idli,3 idlis,190,"Ragi Flour 55 g, Urad Dal 18 g, Water 95 g, Oil 5 g, Salt 2 g"
Ragi dosa,finger millet dosa,1 dosa,190,"Ragi Flour 55 g, Urad Dal 18 g, Water 95 g, Oil 5 g, Salt 2 g"
Ragi uttapam,finger millet uttapam,1 uttapam,220,"Ragi Flour 55 g, Urad Dal 18 g, Water 95 g, Oil 5 g, Salt 2 g, Onion 18 g, Tomato 18 g, Bell Pepper 15 g"
Ragi pancakes,finger millet pancakes,3 pancakes,180,"Ragi Flour 55 g, Whole Wheat Flour 25 g, Egg 45 g, Full-Fat Milk 85 g, Banana 35 g, Jaggery 12 g, Oil 6 g, Baking Powder 2 g"
Ragi malt,finger millet malt drink,1 glass,290,"Ragi Flour 30 g, Full-Fat Milk 180 g, Water 70 g, Jaggery 15 g, Cardamom 1 g"
Ragi milkshake,finger millet shake,1 glass,310,"Ragi Flour 25 g, Full-Fat Milk 220 g, Banana 55 g, Jaggery 12 g, Cardamom 1 g"
Jowar dosa,sorghum dosa,1 dosa,190,"Jowar Flour 55 g, Urad Dal 18 g, Water 95 g, Oil 5 g, Salt 2 g"
Jowar idli,sorghum idli,3 idlis,190,"Jowar Flour 55 g, Urad Dal 18 g, Water 95 g, Oil 5 g, Salt 2 g"
Jowar upma,sorghum upma,1 bowl,220,"Jowar Rava 55 g, Onion 20 g, Carrot 20 g, Peas Cooked 18 g, Green Beans 15 g, Oil 6 g, Mustard Seeds 1 g, Water 165 g, Salt 2 g"
Bajra porridge,bajra breakfast porridge,1 bowl,230,"Bajra Flour 45 g, Full-Fat Milk 150 g, Water 75 g, Jaggery 15 g, Cardamom 1 g"
Millet khichdi,mixed millet khichdi,1 bowl,240,"Foxtail Millet 35 g, Little Millet 20 g, Moong Dal 25 g, Carrot 20 g, Peas Cooked 18 g, Ghee 5 g, Cumin 1 g, Water 180 g, Salt 2 g"
Millet upma,mixed millet upma,1 bowl,220,"Foxtail Millet 35 g, Little Millet 20 g, Onion 20 g, Carrot 20 g, Peas Cooked 18 g, Oil 6 g, Mustard Seeds 1 g, Water 160 g, Salt 2 g"
Millet pongal,mixed millet ven pongal,1 bowl,230,"Foxtail Millet 50 g, Moong Dal 25 g, Ghee 7 g, Cumin 1 g, Black Pepper 2 g, Ginger 4 g, Cashews 8 g, Water 180 g, Salt 2 g"
