Food,Also,Serving,g,Composition
Tawa roti,"phulka, chapati",1 roti,40,"Wheat flour 30 g, water 18 g, salt 1 g"
Tandoori roti,tandoori chapati,1 roti,55,"Wheat flour 40 g, water 24 g, salt 1 g"
Plain naan,naan,1 naan,90,"Wheat flour 55 g, yogurt 15 g, milk 15 g, oil 4 g, salt 1 g, baking powder 1 g"
Butter naan,butter naan,1 naan,100,"Wheat flour 55 g, yogurt 15 g, milk 15 g, butter 10 g, salt 1 g, baking powder 1 g"
Garlic naan,lahsun naan,1 naan,105,"Wheat flour 55 g, yogurt 15 g, milk 15 g, butter 7 g, garlic 6 g, coriander 2 g, salt 1 g, baking powder 1 g"
Amritsari kulcha,stuffed kulcha,1 kulcha,120,"Wheat flour 55 g, potato cooked 35 g, onion 12 g, coriander 3 g, ghee 8 g, yogurt 8 g, salt 2 g"
Aloo paratha,aloo ka paratha,1 paratha,140,"Wheat flour 55 g, potato cooked 60 g, onion 8 g, coriander 3 g, green chili 2 g, oil 10 g, salt 2 g"
Paneer paratha,cheese paratha,1 paratha,130,"Wheat flour 55 g, paneer 55 g, onion 8 g, coriander 3 g, oil 8 g, salt 1 g"
Gobi paratha,cauliflower paratha,1 paratha,130,"Wheat flour 55 g, cauliflower cooked 50 g, onion 8 g, coriander 3 g, oil 9 g, salt 2 g"
Methi paratha,fenugreek paratha,1 paratha,85,"Wheat flour 50 g, methi leaves 25 g, yogurt 8 g, oil 7 g, salt 2 g"
Lachha paratha,layered paratha,1 paratha,100,"Wheat flour 55 g, ghee 12 g, water 25 g, salt 1 g"
Missi roti,besan roti,1 roti,65,"Wheat flour 25 g, gram flour 20 g, onion 8 g, coriander 3 g, ajwain 1 g, oil 5 g, salt 1 g"
Bajra roti,bajre ki roti,1 roti,60,"Pearl millet flour 40 g, water 20 g, salt 1 g"
Jowar bhakri,jowar roti,1 bhakri,60,"Sorghum flour 42 g, water 20 g, salt 1 g"
Ragi roti,ragi rotti,1 roti,65,"Ragi flour 40 g, onion 8 g, coriander 3 g, water 22 g, oil 4 g, salt 1 g"
Makki di roti,makai roti,1 roti,65,"Maize flour 45 g, water 20 g, salt 1 g"
Roomali roti,rumali roti,1 roti,55,"Wheat flour 35 g, refined flour 15 g, oil 3 g, salt 1 g"
Pudina paratha,mint paratha,1 paratha,85,"Wheat flour 50 g, mint 8 g, ghee 8 g, yogurt 8 g, salt 2 g"
Steamed rice,plain rice,1 bowl,150,"Rice 55 g, water 130 g"
Jeera rice,cumin rice,1 bowl,170,"Rice 60 g, cumin 2 g, ghee 5 g, water 145 g, salt 1 g"
Peas pulao,matar pulao,1 bowl,190,"Rice 60 g, green peas 35 g, onion 20 g, oil 7 g, cumin 1 g, whole spices 2 g, water 120 g, salt 2 g"
Vegetable pulao,veg pulao,1 bowl,200,"Rice 60 g, carrot 20 g, green beans 20 g, peas 25 g, onion 18 g, oil 7 g, whole spices 2 g, water 125 g, salt 2 g"
Veg biryani,vegetable biryani,1 bowl,250,"Basmati rice 65 g, mixed vegetables 70 g, onion 25 g, yogurt 20 g, oil 10 g, mint 5 g, coriander 5 g, spices 4 g, water 80 g, salt 2 g"
Chicken biryani,chicken dum biryani,1 bowl,300,"Basmati rice 65 g, chicken 100 g, onion 35 g, yogurt 30 g, oil 12 g, mint 6 g, coriander 5 g, spices 6 g, water 90 g, salt 3 g"
Mutton biryani,mutton dum biryani,1 bowl,300,"Basmati rice 65 g, mutton 100 g, onion 35 g, yogurt 30 g, oil 12 g, mint 5 g, coriander 5 g, spices 6 g, water 90 g, salt 3 g"
Egg biryani,anda biryani,1 bowl,260,"Basmati rice 65 g, egg 2 pieces, onion 35 g, yogurt 20 g, tomato 20 g, oil 10 g, mint 4 g, coriander 4 g, spices 5 g, water 80 g, salt 2 g"
