Food,Also,Serving,g,Composition
Bread pizza,pizza toast,2 slices,185,"White Bread 60 g, Tomato Pizza Sauce 30 g, Mozzarella Cheese 38 g, Onion 15 g, Bell Pepper 15 g, Sweet Corn Cooked 15 g, Butter 5 g, Mixed Herbs 2 g"
Bread omelette,omelette bread,1 serving,185,"White Bread 60 g, Egg 100 g, Onion 15 g, Tomato 15 g, Green Chili 2 g, Oil 6 g, Salt 1 g"
Bun maska,bun butter,1 bun,85,"Milk Bun 70 g, Butter 15 g"
Bun omelette,omelette bun,1 bun,185,"Milk Bun 70 g, Egg 100 g, Onion 15 g, Green Chili 2 g, Oil 6 g, Salt 1 g"
Bombay masala toast,Mumbai masala toast,1 sandwich,180,"White Bread 60 g, Potato Cooked 55 g, Beetroot Cooked 18 g, Onion 15 g, Tomato 18 g, Coriander Chutney 12 g, Sandwich Masala 2 g, Butter 5 g"
Cheese chilli toast,chili cheese toast,1 sandwich,125,"White Bread 60 g, Cheddar Cheese 38 g, Bell Pepper 22 g, Green Chili 3 g, Butter 5 g"
Paneer toast,paneer masala toast,1 sandwich,165,"White Bread 60 g, Paneer 55 g, Onion 18 g, Tomato 18 g, Bell Pepper 15 g, Chili Powder 1 g, Butter 5 g"
Corn cheese toast,cheese corn toast,1 sandwich,150,"White Bread 60 g, Sweet Corn Cooked 40 g, Cheddar Cheese 35 g, Bell Pepper 15 g, Black Pepper 1 g, Butter 5 g"
Pizza sandwich,pizza grilled sandwich,1 sandwich,165,"White Bread 60 g, Tomato Pizza Sauce 25 g, Mozzarella Cheese 35 g, Onion 15 g, Bell Pepper 15 g, Sweet Corn Cooked 15 g, Mixed Herbs 2 g, Butter 5 g"
Paneer sandwich,paneer grilled sandwich,1 sandwich,165,"Whole Wheat Bread 60 g, Paneer 60 g, Onion 18 g, Tomato 18 g, Coriander Chutney 10 g, Butter 5 g"
Chicken cheese sandwich,chicken cheese toastie,1 sandwich,175,"White Bread 60 g, Chicken Cooked 60 g, Cheddar Cheese 28 g, Onion 12 g, Mayonnaise 12 g, Butter 5 g"
Egg cheese sandwich,egg and cheese sandwich,1 sandwich,155,"White Bread 60 g, Egg Boiled 50 g, Cheddar Cheese 28 g, Mayonnaise 12 g, Black Pepper 1 g, Butter 5 g"
Dahi sandwich,yogurt sandwich,1 sandwich,150,"Whole Wheat Bread 60 g, Hung Yogurt 45 g, Carrot 18 g, Cabbage 18 g, Bell Pepper 15 g, Black Pepper 1 g, Butter 5 g"
Potato sandwich,aloo sandwich,1 sandwich,150,"White Bread 60 g, Potato Cooked 65 g, Onion 15 g, Coriander Chutney 10 g, Cumin 1 g, Butter 5 g"
Chutney sandwich,green chutney sandwich,1 sandwich,130,"White Bread 60 g, Coriander Chutney 22 g, Cucumber 25 g, Tomato 18 g, Butter 5 g"
Peanut butter sandwich,peanut sandwich,1 sandwich,95,"Whole Wheat Bread 60 g, Peanut Butter 32 g, Butter 5 g"
Peanut butter banana sandwich,banana peanut butter sandwich,1 sandwich,145,"Whole Wheat Bread 60 g, Peanut Butter 28 g, Banana 55 g, Butter 5 g"
