Food,Also,Serving,g,Composition
Tawa roti,"chapati, phulka",1 roti,40,"Whole Wheat Flour 30 g, Water 18 g, Salt 1 g, Ghee 1 g"
Tandoori roti,—,1 roti,40,"Whole Wheat Flour 30 g, Water 18 g, Salt 1 g, Ghee 1 g"
Naan,—,1 piece,75,"Refined Wheat Flour 45 g, Yogurt 12 g, Water 25 g, Oil 4 g, Salt 1 g, Baking Powder 1 g"
Butter naan,—,1 piece,75,"Refined Wheat Flour 45 g, Butter 6 g, Yogurt 12 g, Water 25 g, Oil 4 g, Salt 1 g, Baking Powder 1 g"
Garlic naan,—,1 piece,75,"Refined Wheat Flour 45 g, Garlic 4 g, Yogurt 12 g, Water 25 g, Oil 4 g, Salt 1 g, Baking Powder 1 g"
Kulcha,—,1 piece,75,"Refined Wheat Flour 45 g, Yogurt 12 g, Water 25 g, Oil 4 g, Salt 1 g, Baking Powder 1 g"
Amritsari kulcha,aloo kulcha,1 paratha,110,"Whole Wheat Flour 45 g, Potato 55 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Missi roti,besan roti,1 roti,40,"Whole Wheat Flour 30 g, Besan 15 g, Water 18 g, Salt 1 g, Ghee 1 g"
Rumali roti,roomali roti,1 roti,40,"Whole Wheat Flour 30 g, Water 18 g, Salt 1 g, Ghee 1 g"
Laccha paratha,layered paratha,1 piece,75,"Whole Wheat Flour 45 g, Yogurt 12 g, Water 25 g, Oil 4 g, Salt 1 g, Baking Powder 1 g"
Plain paratha,—,1 piece,75,"Whole Wheat Flour 45 g, Yogurt 12 g, Water 25 g, Oil 4 g, Salt 1 g, Baking Powder 1 g"
Aloo paratha,potato paratha,1 paratha,110,"Whole Wheat Flour 45 g, Potato 55 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Gobi paratha,cauliflower paratha,1 paratha,110,"Whole Wheat Flour 45 g, Cauliflower 55 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Paneer paratha,—,1 paratha,110,"Whole Wheat Flour 45 g, Paneer 55 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Methi paratha,fenugreek paratha,1 paratha,110,"Whole Wheat Flour 45 g, Fenugreek Leaves 55 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Mooli paratha,radish paratha,1 paratha,110,"Whole Wheat Flour 45 g, Radish 55 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Onion paratha,pyaz paratha,1 paratha,110,"Whole Wheat Flour 45 g, Onion 55 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Palak paratha,spinach paratha,1 paratha,110,"Whole Wheat Flour 45 g, Spinach 55 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Ajwain paratha,carom paratha,1 piece,75,"Whole Wheat Flour 45 g, Yogurt 12 g, Water 25 g, Oil 4 g, Salt 1 g, Baking Powder 1 g"
Puri,poori,2 puris,90,"Whole Wheat Flour 55 g, Water 28 g, Oil Absorbed 9 g, Salt 1 g"
Bhatura,bhatoora,1 bhatura,90,"Refined Wheat Flour 55 g, Water 28 g, Oil Absorbed 9 g, Salt 1 g"
Makki di roti,makki roti,1 roti,40,"Maize Flour 30 g, Water 18 g, Salt 1 g, Ghee 1 g"
Bajra roti,pearl millet roti,1 roti,40,"Bajra Flour 30 g, Water 18 g, Salt 1 g, Ghee 1 g"
Jowar roti,sorghum roti,1 roti,40,"Jowar Flour 30 g, Water 18 g, Salt 1 g, Ghee 1 g"
Ragi roti,finger millet roti,1 roti,40,"Ragi Flour 30 g, Water 18 g, Salt 1 g, Ghee 1 g"
Multigrain roti,—,1 roti,40,"Multigrain Flour 30 g, Water 18 g, Salt 1 g, Ghee 1 g"
Steamed rice,plain rice,1 bowl,180,"Rice 60 g, Water 125 g, Salt 1 g"
Brown rice,—,1 bowl,180,"Brown Rice 60 g, Water 125 g, Salt 1 g"
